Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,296.24,300.60,295.19,300.35,300.35,33870100
2020-01-03,297.15,300.58,296.50,297.43,297.43,36580400
2020-01-06,293.79,299.96,292.75,299.80,299.80,29596500
2020-01-07,299.84,300.90,297.10,298.39,298.39,27073600
2020-01-08,295.17,301.30,293.98,301.21,301.21,30336400
2020-01-09,301.43,304.92,301.38,303.19,303.19,25048400
2020-01-10,304.92,304.97,301.88,303.74,303.74,22841500
2020-01-13,306.20,310.43,305.08,309.63,309.63,28251100
2020-01-14,310.87,311.55,306.20,308.52,308.52,30035600
2020-01-15,309.58,311.50,308.05,311.32,311.32,22783100
2020-01-16,312.42,313.30,309.80,313.05,313.05,24139400
